playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
borucry01,2022,1,TOR,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brantmi02,2022,1,HOU,AL,64,243,28,70,14,1,5,26,1,1,31,30,2,1,1,1,1
santada01,2020,1,TEX,AL,15,55,6,8,4,0,1,7,2,0,7,24,0,0,0,1,1
baezja01,2022,1,DET,AL,144,555,64,132,27,4,17,67,9,2,26,147,1,6,0,3,13
fairbpe01,2019,2,TBA,AL,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suareeu01,2019,1,CIN,NL,159,575,87,156,22,2,49,103,3,2,70,189,4,11,0,6,12
brownhu01,2022,1,HOU,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rufda01,2022,2,NYN,NL,29,66,6,10,3,0,0,7,0,0,5,20,0,1,0,2,3
garcija04,2021,1,SFN,NL,58,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
stanery01,2020,1,MIA,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
segurje01,2019,1,PHI,NL,144,576,79,161,37,4,12,60,10,2,30,73,1,8,1,3,11
santaca01,2022,2,SEA,AL,79,255,35,49,8,0,15,39,0,0,35,60,1,2,0,2,8
chiriro01,2019,1,HOU,AL,114,366,57,87,22,1,17,58,1,2,51,125,1,13,2,5,11
changyu01,2022,1,CLE,AL,4,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
castiwe01,2019,1,CHA,AL,72,230,19,48,12,0,12,41,0,0,16,74,0,3,0,2,8
nerishe01,2019,1,PHI,NL,68,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cortene01,2020,1,SEA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smithca03,2019,1,MIA,NL,30,43,2,10,2,0,0,3,0,0,0,15,0,1,5,0,2
vestwi01,2021,1,SEA,AL,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
