age,g,pa,ab,h,hr,rbi,so,ba,obp,slg,ops,ops_ps,tb
28,162,696,640,177,25,96,182,0.277,0.329,0.447,0.776,115,286
26,41,142,136,34,9,16,44,0.250,0.282,0.522,0.804,121,71
35,118,388,334,68,11,45,105,0.204,0.307,0.338,0.645,83,113
35,90,314,268,58,11,38,85,0.216,0.328,0.373,0.701,98,100
35,28,74,66,10,0,7,20,0.152,0.216,0.197,0.413,20,13
25,151,592,531,125,27,74,145,0.235,0.302,0.443,0.745,109,235
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,30,91,81,20,6,20,30,0.247,0.319,0.506,0.825,132,41
29,41,127,116,30,4,12,45,0.259,0.315,0.431,0.746,109,50
28,61,228,216,55,2,17,16,0.255,0.288,0.333,0.621,77,72
26,16,34,29,10,1,5,6,0.345,0.441,0.586,1.027,191,17
27,126,521,461,140,5,51,77,0.304,0.373,0.399,0.772,120,184
27,110,420,373,86,5,25,76,0.231,0.296,0.306,0.601,64,114
27,104,265,243,52,5,24,30,0.214,0.252,0.313,0.565,60,76
34,134,490,439,110,12,59,114,0.251,0.316,0.415,0.731,109,182
34,87,310,278,69,12,41,74,0.248,0.316,0.460,0.777,118,128
34,47,180,161,41,0,18,40,0.255,0.317,0.335,0.652,92,54
36,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
37,2,1,1,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
37,2,1,1,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
25,52,181,156,36,9,24,58,0.231,0.331,0.455,0.787,120,71
25,21,70,64,14,1,8,20,0.219,0.286,0.344,0.629,83,22
34,22,59,59,18,0,2,8,0.305,0.305,0.356,0.661,92,21
26,31,92,83,19,1,3,28,0.229,0.270,0.289,0.559,64,24
24,39,125,116,24,5,20,55,0.207,0.264,0.388,0.652,88,45
31,5,6,6,0,0,0,3,0.000,0.000,0.000,0.000,-100,0
32,63,232,214,45,1,19,36,0.210,0.263,0.304,0.567,60,65
24,96,283,262,54,11,29,75,0.206,0.251,0.382,0.633,76,100
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,8,14,11,1,0,0,6,0.091,0.286,0.091,0.377,15,1
30,5,17,15,3,0,0,5,0.200,0.294,0.200,0.494,44,3
33,125,541,467,122,12,46,71,0.261,0.357,0.377,0.734,111,176
28,3,3,3,0,0,0,2,0.000,0.000,0.000,0.000,-100,0
27,57,185,166,33,5,14,52,0.199,0.273,0.361,0.635,78,60
27,47,131,114,27,5,13,30,0.237,0.336,0.412,0.748,116,47
26,3,4,3,0,0,0,1,0.000,0.250,0.000,0.250,-20,0
34,80,304,278,79,4,24,61,0.284,0.339,0.385,0.724,97,107
28,25,78,76,12,1,8,16,0.158,0.179,0.303,0.482,33,23
28,24,78,76,12,1,8,16,0.158,0.179,0.303,0.482,33,23
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
26,7,17,16,3,0,1,7,0.188,0.235,0.250,0.485,40,4
26,6,14,13,2,0,1,6,0.154,0.214,0.231,0.445,27,3
26,1,3,3,1,0,0,1,0.333,0.333,0.333,0.667,97,1
28,3,3,3,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
23,32,109,96,23,5,18,40,0.240,0.324,0.479,0.803,124,46
34,8,11,10,3,0,1,4,0.300,0.364,0.400,0.764,124,4
23,128,488,432,102,8,42,94,0.236,0.316,0.380,0.695,100,164
25,4,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,104,255,205,46,6,24,75,0.224,0.368,0.385,0.753,122,79
30,80,270,250,53,5,24,68,0.212,0.259,0.328,0.587,64,82
32,14,27,25,4,0,3,9,0.160,0.154,0.160,0.314,-13,4
26,78,190,176,40,2,21,50,0.227,0.275,0.369,0.644,83,65
26,25,59,54,17,2,13,12,0.315,0.345,0.593,0.937,159,32
26,53,131,122,23,0,8,38,0.189,0.244,0.270,0.515,49,33
33,136,542,495,119,20,69,129,0.240,0.295,0.430,0.726,106,213
26,53,174,161,46,4,15,36,0.286,0.333,0.410,0.743,110,66
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,27,92,86,21,7,17,36,0.244,0.293,0.500,0.793,114,43
22,7,6,5,1,0,0,2,0.200,0.333,0.200,0.533,62,1
32,37,110,97,17,0,7,25,0.175,0.264,0.206,0.470,39,20
32,31,94,84,15,0,7,22,0.179,0.255,0.202,0.458,36,17
32,6,16,13,2,0,0,3,0.154,0.313,0.231,0.543,56,3
23,53,185,176,41,6,20,60,0.233,0.270,0.432,0.702,85,76
28,47,117,105,21,3,10,41,0.200,0.274,0.305,0.578,66,32
31,105,381,351,80,9,51,82,0.228,0.281,0.368,0.648,73,129
27,35,115,102,25,5,13,26,0.245,0.330,0.441,0.772,122,45
25,84,327,292,86,16,54,72,0.295,0.358,0.500,0.858,140,146
33,149,577,535,133,17,58,92,0.249,0.303,0.404,0.707,103,216
33,43,191,181,49,9,28,30,0.271,0.309,0.464,0.773,116,84
33,106,386,354,84,8,30,62,0.237,0.301,0.373,0.673,96,132
26,102,359,330,77,12,40,83,0.233,0.292,0.409,0.702,97,135
26,63,211,198,47,6,22,46,0.237,0.284,0.399,0.683,91,79
26,39,148,132,30,6,18,37,0.227,0.304,0.424,0.728,105,56
31,11,8,8,1,0,0,0,0.125,0.125,0.125,0.250,-28,1
30,93,402,361,80,6,45,71,0.222,0.291,0.338,0.629,75,122
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,110,351,323,82,14,44,97,0.254,0.305,0.443,0.748,115,143
32,104,419,380,102,8,44,64,0.268,0.334,0.382,0.716,108,145
32,90,369,335,91,8,40,55,0.272,0.336,0.391,0.727,113,131
32,14,50,45,11,0,4,9,0.244,0.320,0.311,0.631,77,14
30,16,41,37,7,0,3,12,0.189,0.268,0.216,0.485,40,8
26,69,179,163,30,0,6,26,0.184,0.243,0.209,0.452,33,34
26,63,161,145,29,0,6,24,0.200,0.264,0.221,0.485,43,32
26,6,18,18,1,0,0,2,0.056,0.056,0.111,0.167,-53,2
30,14,47,40,11,0,3,9,0.275,0.370,0.275,0.645,87,11
23,17,36,35,6,0,2,7,0.171,0.194,0.257,0.452,30,9
23,14,27,27,6,0,2,5,0.222,0.222,0.333,0.556,60,9
23,3,9,8,0,0,0,2,0.000,0.111,0.000,0.111,-64,0
24,17,35,31,3,0,1,13,0.097,0.200,0.097,0.297,-11,3
30,150,629,543,128,31,87,196,0.236,0.332,0.459,0.791,129,249
36,89,298,266,65,14,42,83,0.244,0.315,0.451,0.767,114,120
27,24,74,65,18,5,16,26,0.277,0.365,0.554,0.919,159,36
23,58,220,208,49,5,25,54,0.236,0.277,0.365,0.643,83,76
20,9,35,33,7,1,2,9,0.212,0.257,0.333,0.590,57,11
27,142,531,483,126,4,48,72,0.261,0.314,0.327,0.642,84,158
25,7,22,18,2,1,6,3,0.111,0.182,0.278,0.460,28,5
27,89,363,336,92,4,47,68,0.274,0.325,0.375,0.700,105,126
20,5,14,12,2,1,1,4,0.167,0.286,0.500,0.786,121,6
28,161,706,630,170,26,107,133,0.270,0.339,0.449,0.788,125,283
26,93,299,289,70,6,31,65,0.242,0.264,0.381,0.645,87,110
30,75,292,271,62,8,36,58,0.229,0.277,0.358,0.635,78,97
26,118,473,438,97,14,47,157,0.221,0.273,0.365,0.638,81,160
26,70,280,263,56,9,28,104,0.213,0.254,0.350,0.603,73,92
26,48,193,175,41,5,19,53,0.234,0.301,0.389,0.689,93,68
32,159,708,612,199,21,100,102,0.325,0.407,0.511,0.918,152,313
27,96,293,260,56,4,25,62,0.215,0.301,0.300,0.601,75,78
22,16,57,47,9,1,5,16,0.191,0.321,0.319,0.641,87,15
22,25,73,69,22,1,7,8,0.319,0.356,0.377,0.733,111,26
31,119,469,414,108,9,50,119,0.261,0.337,0.415,0.752,113,172
27,89,293,271,58,4,26,80,0.214,0.273,0.288,0.561,65,78
23,28,68,61,19,2,9,28,0.311,0.373,0.459,0.832,136,28
29,46,121,106,28,5,16,30,0.264,0.350,0.462,0.812,128,49
29,128,471,419,86,16,61,136,0.205,0.282,0.377,0.659,89,158
24,129,471,421,116,6,42,95,0.276,0.346,0.399,0.745,105,168
26,124,410,377,91,15,53,86,0.241,0.295,0.411,0.706,98,155
32,133,583,513,137,25,76,100,0.267,0.342,0.472,0.814,131,242
22,148,500,431,84,5,40,103,0.195,0.285,0.262,0.547,58,113
32,110,452,398,84,31,78,137,0.211,0.297,0.462,0.759,113,184
23,122,347,311,74,2,24,77,0.238,0.313,0.302,0.615,80,94
30,144,551,501,143,13,64,96,0.285,0.338,0.429,0.767,121,215
25,140,572,526,135,24,76,129,0.257,0.310,0.451,0.761,114,237
27,55,128,121,25,4,16,29,0.207,0.242,0.372,0.614,75,45
29,2,8,6,1,0,0,3,0.167,0.375,0.167,0.542,63,1
29,46,134,118,22,2,8,42,0.186,0.260,0.271,0.531,51,32
31,74,82,76,12,3,8,32,0.158,0.220,0.342,0.562,55,26
21,34,132,116,30,4,18,34,0.259,0.348,0.440,0.788,123,51
26,150,582,517,130,11,59,100,0.251,0.325,0.383,0.708,107,198
29,73,159,156,38,2,15,25,0.244,0.258,0.365,0.623,70,57
28,120,443,420,114,7,47,79,0.271,0.300,0.381,0.681,98,160
27,54,127,120,25,4,16,28,0.208,0.244,0.375,0.619,76,45
28,86,313,292,73,5,30,62,0.250,0.294,0.356,0.650,87,104
28,72,264,246,63,5,21,47,0.256,0.303,0.370,0.673,94,91
28,14,49,46,10,0,9,15,0.217,0.245,0.283,0.528,51,13
22,9,22,20,2,0,0,6,0.100,0.182,0.100,0.282,-17,2
26,23,60,51,11,2,6,15,0.216,0.276,0.373,0.648,82,19
30,128,500,462,109,12,41,125,0.236,0.292,0.387,0.679,91,179
30,125,522,474,121,29,72,121,0.255,0.315,0.492,0.807,126,233
33,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,47,171,155,32,4,12,48,0.206,0.272,0.361,0.633,78,56
37,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
30,63,222,209,55,4,23,23,0.263,0.299,0.392,0.691,98,82
30,53,196,186,52,3,19,21,0.280,0.308,0.398,0.706,103,74
30,10,26,23,3,1,4,2,0.130,0.231,0.348,0.579,61,8
23,111,381,331,68,20,45,67,0.205,0.304,0.435,0.740,114,144
27,36,108,97,15,4,11,41,0.155,0.231,0.320,0.551,56,31
22,4,14,13,1,0,0,7,0.077,0.143,0.077,0.220,-33,1
22,11,22,18,2,0,1,8,0.111,0.190,0.111,0.302,-9,2
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,115,365,318,79,12,35,122,0.248,0.340,0.418,0.758,115,133
29,49,158,137,36,8,14,56,0.263,0.361,0.496,0.857,140,68
29,66,207,181,43,4,21,66,0.238,0.324,0.359,0.683,97,65
34,139,596,533,146,16,62,145,0.274,0.341,0.448,0.790,117,239
26,32,71,67,14,2,5,25,0.209,0.254,0.328,0.582,65,22
27,26,79,72,14,4,10,31,0.194,0.266,0.417,0.682,92,30
31,139,562,504,139,22,84,119,0.276,0.342,0.478,0.820,129,241
32,112,328,288,68,8,34,85,0.236,0.316,0.382,0.698,98,110
27,93,390,347,111,3,39,52,0.320,0.387,0.398,0.785,124,138
31,23,74,70,13,1,6,17,0.186,0.230,0.271,0.501,42,19
23,106,372,326,66,19,38,114,0.202,0.298,0.411,0.709,98,134
32,131,370,344,70,4,38,77,0.203,0.255,0.311,0.566,58,107
32,91,290,271,57,3,29,58,0.210,0.257,0.321,0.578,60,87
32,40,80,73,13,1,9,19,0.178,0.250,0.274,0.524,51,20
27,92,336,315,80,3,34,77,0.254,0.289,0.362,0.651,89,114
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,114,384,346,77,4,34,83,0.223,0.292,0.292,0.584,67,101
26,51,183,168,42,8,26,56,0.250,0.302,0.458,0.761,112,77
29,54,177,164,35,5,20,49,0.213,0.260,0.384,0.644,84,63
28,158,684,587,140,17,88,131,0.239,0.332,0.390,0.722,111,229
27,89,274,249,67,3,22,56,0.269,0.307,0.369,0.677,90,92
29,28,59,50,12,0,3,17,0.240,0.345,0.280,0.625,82,14
31,41,111,97,21,3,6,38,0.216,0.315,0.392,0.707,98,38
31,25,77,67,16,2,4,24,0.239,0.338,0.433,0.770,111,29
31,16,34,30,5,1,2,14,0.167,0.265,0.300,0.565,66,9
31,31,82,77,18,2,6,24,0.234,0.272,0.390,0.661,84,30
24,99,354,321,91,8,43,76,0.283,0.342,0.427,0.769,118,137
26,52,160,150,34,1,15,54,0.227,0.269,0.313,0.582,66,47
29,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,61,191,174,34,3,18,46,0.195,0.257,0.282,0.538,55,49
25,4,16,13,6,1,3,7,0.462,0.563,0.846,1.409,282,11
28,118,454,423,91,15,44,138,0.215,0.269,0.374,0.642,81,158
26,6,22,19,5,0,0,7,0.263,0.364,0.368,0.732,108,7
22,54,181,163,23,7,17,61,0.141,0.221,0.313,0.534,55,51
25,58,223,204,45,3,17,63,0.221,0.283,0.363,0.645,78,74
35,34,88,78,9,1,3,40,0.115,0.205,0.179,0.384,11,14
27,83,216,197,41,3,16,26,0.208,0.254,0.294,0.548,56,58
32,48,151,137,28,1,10,32,0.204,0.278,0.277,0.556,58,38
33,3,10,8,1,0,0,3,0.125,0.300,0.125,0.425,27,1
28,36,111,98,26,4,12,29,0.265,0.342,0.469,0.812,127,46
29,144,590,555,132,17,67,147,0.238,0.278,0.393,0.671,93,218
27,66,201,176,31,3,17,64,0.176,0.274,0.307,0.580,66,54
24,60,241,213,54,14,45,66,0.254,0.325,0.535,0.860,139,114
32,98,387,354,98,10,33,58,0.277,0.336,0.387,0.723,104,137
38,50,184,167,30,3,16,39,0.180,0.245,0.263,0.508,49,44
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
30,148,589,533,174,9,62,61,0.326,0.382,0.454,0.836,140,242
28,124,467,429,93,13,50,109,0.217,0.272,0.361,0.633,83,155
24,23,81,77,14,3,14,32,0.182,0.210,0.338,0.548,52,26
24,136,558,521,132,22,63,135,0.253,0.289,0.426,0.715,101,222
25,30,77,70,10,2,6,27,0.143,0.184,0.229,0.413,19,16
32,129,507,464,109,16,51,119,0.235,0.281,0.379,0.661,86,176
32,113,456,415,98,15,49,106,0.236,0.286,0.388,0.674,89,161
32,16,51,49,11,1,2,13,0.224,0.240,0.306,0.546,54,15
24,98,343,313,67,13,36,92,0.214,0.280,0.403,0.682,91,126
28,136,547,456,100,14,53,103,0.219,0.344,0.344,0.688,103,157
23,14,41,39,6,1,4,21,0.154,0.171,0.256,0.427,17,10
32,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
24,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
22,10,37,33,11,0,6,6,0.333,0.405,0.424,0.830,136,14
31,113,419,356,83,11,52,123,0.233,0.341,0.388,0.729,114,138
27,67,192,171,32,3,14,45,0.187,0.266,0.292,0.558,58,50
24,65,238,204,34,5,16,67,0.167,0.277,0.309,0.586,67,63
23,88,285,268,60,8,27,107,0.224,0.264,0.373,0.637,79,100
30,134,433,380,104,23,70,100,0.274,0.353,0.521,0.874,144,198
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
26,3,11,10,3,1,1,3,0.300,0.364,0.700,1.064,193,7
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
22,1,1,1,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
27,35,95,82,17,3,4,19,0.207,0.309,0.329,0.638,84,27
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
30,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,97,291,261,56,11,25,112,0.215,0.296,0.364,0.660,86,95
28,126,410,350,56,19,47,163,0.160,0.280,0.357,0.638,79,125
28,82,273,233,37,12,24,106,0.159,0.282,0.339,0.621,77,79
28,44,137,117,19,7,23,57,0.162,0.277,0.393,0.671,83,46
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
30,56,240,222,72,13,34,52,0.324,0.367,0.563,0.930,165,125
38,91,376,322,66,11,41,97,0.205,0.319,0.370,0.689,87,119
32,101,371,347,90,3,32,50,0.259,0.297,0.360,0.658,86,125
28,52,166,152,36,3,15,37,0.237,0.297,0.316,0.613,74,48
25,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,102,404,358,86,4,28,89,0.240,0.324,0.338,0.662,89,121
26,58,187,162,33,1,6,32,0.204,0.301,0.247,0.548,63,40
27,36,108,98,33,3,12,23,0.337,0.377,0.500,0.877,142,49
23,15,41,38,5,1,5,12,0.132,0.150,0.211,0.361,1,8
23,9,29,28,5,1,4,9,0.179,0.207,0.286,0.493,39,8
23,6,12,10,0,0,1,3,0.000,0.000,0.000,0.000,-100,0
24,32,87,78,15,2,6,23,0.192,0.276,0.321,0.596,75,25
30,37,91,76,17,0,4,26,0.224,0.344,0.237,0.581,71,18
25,103,431,386,96,10,41,94,0.249,0.327,0.378,0.705,91,146
27,28,61,58,7,3,6,21,0.121,0.148,0.293,0.441,24,17
30,131,510,481,97,11,38,107,0.202,0.239,0.322,0.561,62,155
31,59,220,202,42,3,18,59,0.208,0.260,0.302,0.562,59,61
31,46,166,153,34,2,15,42,0.222,0.271,0.327,0.598,69,50
31,13,54,49,8,1,3,17,0.163,0.226,0.224,0.451,29,11
21,15,51,49,13,0,1,7,0.265,0.294,0.327,0.621,82,16
22,17,65,61,16,1,2,13,0.262,0.308,0.311,0.619,77,19
28,83,234,205,36,11,28,60,0.176,0.274,0.361,0.634,79,74
29,82,274,256,63,7,40,98,0.246,0.285,0.383,0.667,94,98
29,4,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,26,96,89,19,3,6,32,0.213,0.260,0.337,0.597,66,30
28,104,445,375,88,16,56,95,0.235,0.346,0.405,0.751,117,152
30,72,306,270,56,13,34,90,0.207,0.295,0.400,0.695,95,108
35,157,679,601,183,15,75,110,0.304,0.378,0.446,0.824,133,268
32,141,604,527,158,28,57,87,0.300,0.387,0.533,0.921,160,281
27,29,60,57,12,3,7,10,0.211,0.250,0.404,0.654,81,23
26,98,216,202,52,0,10,44,0.257,0.298,0.332,0.629,85,67
24,48,174,165,25,2,10,76,0.152,0.195,0.206,0.401,10,34
27,102,335,297,81,2,17,46,0.273,0.351,0.340,0.691,101,101
27,90,226,199,42,2,15,63,0.211,0.287,0.307,0.594,60,61
27,55,171,159,42,2,18,40,0.264,0.316,0.352,0.668,96,56
25,47,124,111,21,0,5,34,0.189,0.250,0.207,0.457,33,23
32,118,467,439,128,3,47,56,0.292,0.328,0.380,0.708,90,167
24,125,483,444,119,15,66,91,0.268,0.325,0.426,0.751,116,189
29,157,685,601,168,29,126,82,0.280,0.355,0.514,0.869,148,309
29,22,57,56,7,0,1,19,0.125,0.140,0.161,0.301,-14,9
26,104,325,301,64,7,24,108,0.213,0.268,0.339,0.607,75,102
26,56,178,166,40,4,14,60,0.241,0.292,0.367,0.660,92,61
26,48,147,135,24,3,10,48,0.178,0.238,0.304,0.542,54,41
29,115,353,335,83,11,43,62,0.248,0.283,0.388,0.671,90,130
29,156,647,552,147,17,71,102,0.266,0.362,0.422,0.784,128,233
29,103,437,375,113,14,57,61,0.301,0.384,0.493,0.877,153,185
29,53,210,177,34,3,14,41,0.192,0.316,0.271,0.587,75,48
36,132,546,478,106,15,62,148,0.222,0.308,0.374,0.682,94,179
34,119,425,386,99,7,27,71,0.256,0.317,0.370,0.687,94,143
24,26,102,98,20,5,14,39,0.204,0.235,0.418,0.654,83,41
27,33,131,114,29,2,12,25,0.254,0.331,0.404,0.734,109,46
24,52,198,181,40,2,13,66,0.221,0.284,0.343,0.627,83,62
25,122,498,449,115,20,79,80,0.256,0.319,0.452,0.771,121,203
26,29,49,47,10,0,2,15,0.213,0.245,0.255,0.500,46,12
28,125,510,443,119,9,56,98,0.269,0.349,0.391,0.739,111,173
24,73,253,213,42,2,16,50,0.197,0.307,0.249,0.556,63,53
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,21,49,46,11,2,8,4,0.239,0.245,0.391,0.636,76,18
30,2,4,4,1,0,0,1,0.250,0.250,0.250,0.500,37,1
33,20,62,60,11,0,0,15,0.183,0.210,0.250,0.460,30,15
23,153,664,524,127,27,62,96,0.242,0.401,0.452,0.853,149,237
23,101,436,342,84,21,46,62,0.246,0.408,0.485,0.894,159,166
23,52,228,182,43,6,16,34,0.236,0.388,0.390,0.778,130,71
24,76,274,253,64,12,30,61,0.253,0.296,0.447,0.742,111,113
21,132,560,511,145,28,75,145,0.284,0.345,0.509,0.853,147,260
29,152,658,575,140,15,58,103,0.243,0.331,0.391,0.723,111,225
25,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
33,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
37,128,532,468,130,13,81,89,0.278,0.350,0.438,0.788,116,205
34,17,57,48,6,1,3,23,0.125,0.263,0.208,0.471,41,10
28,1,1,1,0,0,0,0,0.000,0.000,0.000,0.000,-100,0
25,136,560,505,123,7,41,122,0.244,0.314,0.345,0.659,87,174
23,112,433,394,99,7,36,50,0.251,0.313,0.360,0.673,95,142
27,29,81,69,15,2,8,24,0.217,0.321,0.319,0.640,84,22
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
24,31,113,103,26,6,10,32,0.252,0.310,0.485,0.795,128,50
25,80,266,234,53,14,32,111,0.226,0.316,0.449,0.765,115,105
28,137,558,492,118,12,52,101,0.240,0.321,0.407,0.727,106,200
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,63,221,206,47,7,22,61,0.228,0.281,0.369,0.649,89,76
28,78,309,288,79,2,24,48,0.274,0.316,0.372,0.687,94,107
25,13,34,33,4,0,3,10,0.121,0.147,0.152,0.299,-14,5
25,7,23,23,2,0,0,5,0.087,0.087,0.087,0.174,-50,2
25,4,12,12,2,0,0,4,0.167,0.167,0.167,0.333,-5,2
25,6,11,10,2,0,3,5,0.200,0.273,0.300,0.573,68,3
25,3,11,11,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
33,4,13,12,1,0,0,4,0.083,0.154,0.167,0.321,-11,2
31,63,186,168,37,1,13,32,0.220,0.286,0.286,0.572,61,48
31,60,175,157,34,1,12,28,0.217,0.287,0.287,0.574,61,45
31,3,11,11,3,0,1,4,0.273,0.273,0.273,0.545,58,3
25,47,151,139,25,2,13,42,0.180,0.216,0.302,0.518,50,42
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
24,2,2,2,1,1,3,0,0.500,0.500,2.000,2.500,574,4
26,56,127,117,17,5,17,33,0.145,0.197,0.308,0.505,45,36
34,125,424,388,76,12,49,136,0.196,0.257,0.330,0.587,67,128
31,134,497,430,108,15,47,88,0.251,0.339,0.430,0.770,118,185
23,12,26,25,4,0,4,9,0.160,0.192,0.240,0.432,23,6
27,25,60,59,8,2,5,17,0.136,0.136,0.271,0.407,7,16
30,42,181,160,49,5,14,27,0.306,0.376,0.475,0.851,127,76
38,51,159,139,25,4,15,29,0.180,0.266,0.295,0.561,60,41
31,145,583,526,134,14,78,99,0.255,0.315,0.386,0.701,90,203
30,66,162,150,35,9,18,48,0.233,0.284,0.433,0.717,104,65
32,83,248,229,52,10,31,52,0.227,0.264,0.389,0.653,84,89
25,106,278,256,54,5,28,75,0.211,0.264,0.340,0.603,70,87
26,18,62,56,8,3,5,19,0.143,0.226,0.304,0.529,54,17
25,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,155,669,577,126,46,94,200,0.218,0.323,0.504,0.827,130,291
24,34,98,91,23,3,11,29,0.253,0.306,0.418,0.724,104,38
25,150,609,544,140,30,107,95,0.257,0.330,0.478,0.808,128,260
28,77,251,217,45,8,26,51,0.207,0.305,0.359,0.665,88,78
26,146,548,498,120,17,52,132,0.241,0.301,0.404,0.705,103,201
24,108,347,290,66,14,40,71,0.228,0.340,0.448,0.788,126,130
22,11,36,35,4,1,1,12,0.114,0.139,0.229,0.367,2,8
23,99,341,314,82,5,34,88,0.261,0.309,0.366,0.675,93,115
31,97,315,300,63,3,20,65,0.210,0.233,0.267,0.500,42,80
25,58,174,160,27,5,11,54,0.169,0.224,0.288,0.512,44,46
28,16,39,36,6,3,4,14,0.167,0.211,0.472,0.683,86,17
33,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
21,1,4,3,1,0,0,2,0.333,0.500,0.333,0.833,143,1
