age,g,pa,ab,h,hr,rbi,so,ba,obp,slg,ops,ops_ps,tb
38,146,584,545,132,8,53,73,0.242,0.288,0.360,0.647,84,196
25,1,1,1,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
27,3,6,6,0,0,0,5,0.000,0.000,0.000,0.000,-100,0
27,1,3,3,0,0,0,2,0.000,0.000,0.000,0.000,-100,0
27,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,16,34,34,9,0,3,10,0.265,0.265,0.294,0.559,61,10
27,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,4,9,8,1,0,1,2,0.125,0.222,0.125,0.347,2,1
27,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
